item,label,outcome,n,r,p,sig
asr_9,Obsessive thoughts,T1_YSR_Internalizing,41,0.027,0.865, 
asr_9,Obsessive thoughts,T1_YSR_Externalizing,41,-0.187,0.241, 
asr_9,Obsessive thoughts,T1_YSR_Total,41,0.039,0.807, 
asr_9,Obsessive thoughts,T2_YSR_Internalizing,41,0.01,0.952, 
asr_9,Obsessive thoughts,T2_YSR_Externalizing,41,-0.17,0.287, 
asr_9,Obsessive thoughts,T2_YSR_Total,41,0.014,0.932, 
asr_29,Fears / phobias,T1_YSR_Internalizing,47,0.294,0.045,*
asr_29,Fears / phobias,T1_YSR_Externalizing,47,0.25,0.09, 
asr_29,Fears / phobias,T1_YSR_Total,47,0.313,0.032,*
asr_29,Fears / phobias,T2_YSR_Internalizing,36,0.142,0.408, 
asr_29,Fears / phobias,T2_YSR_Externalizing,36,0.075,0.663, 
asr_29,Fears / phobias,T2_YSR_Total,36,0.134,0.436, 
asr_40,Voices / perceptual experiences,T1_YSR_Internalizing,11,-0.085,0.804, 
asr_40,Voices / perceptual experiences,T1_YSR_Externalizing,11,-0.146,0.669, 
asr_40,Voices / perceptual experiences,T1_YSR_Total,11,-0.082,0.811, 
asr_46,Body tics / twitches,T1_YSR_Internalizing,26,-0.015,0.941, 
asr_46,Body tics / twitches,T1_YSR_Externalizing,26,-0.13,0.528, 
asr_46,Body tics / twitches,T1_YSR_Total,26,-0.053,0.798, 
asr_46,Body tics / twitches,T2_YSR_Internalizing,17,-0.196,0.45, 
asr_46,Body tics / twitches,T2_YSR_Externalizing,17,-0.151,0.564, 
asr_46,Body tics / twitches,T2_YSR_Total,17,-0.166,0.524, 
asr_58,Skin picking,T1_YSR_Internalizing,22,-0.007,0.975, 
asr_58,Skin picking,T1_YSR_Externalizing,22,0.11,0.626, 
asr_58,Skin picking,T1_YSR_Total,22,0.032,0.888, 
asr_58,Skin picking,T2_YSR_Internalizing,17,0.116,0.657, 
asr_58,Skin picking,T2_YSR_Externalizing,17,0.1,0.704, 
asr_58,Skin picking,T2_YSR_Total,17,0.106,0.686, 
asr_84,Strange behaviors,T1_YSR_Internalizing,12,0.05,0.876, 
asr_84,Strange behaviors,T1_YSR_Externalizing,12,0.294,0.353, 
asr_84,Strange behaviors,T1_YSR_Total,12,0.127,0.694, 
asr_84,Strange behaviors,T2_YSR_Internalizing,12,-0.046,0.888, 
asr_84,Strange behaviors,T2_YSR_Externalizing,12,0.194,0.545, 
asr_84,Strange behaviors,T2_YSR_Total,12,0.042,0.896, 
asr_85,Strange thoughts,T1_YSR_Internalizing,17,-0.1,0.704, 
asr_85,Strange thoughts,T1_YSR_Externalizing,17,-0.089,0.735, 
asr_85,Strange thoughts,T1_YSR_Total,17,-0.252,0.329, 
asr_85,Strange thoughts,T2_YSR_Internalizing,10,-0.268,0.455, 
asr_85,Strange thoughts,T2_YSR_Externalizing,10,-0.288,0.419, 
asr_85,Strange thoughts,T2_YSR_Total,10,-0.297,0.405, 
asr_92,Legal trouble,T1_YSR_Internalizing,16,0.083,0.761, 
asr_92,Legal trouble,T1_YSR_Externalizing,16,-0.268,0.316, 
asr_92,Legal trouble,T1_YSR_Total,16,-0.022,0.934, 
asr_100,Sleep trouble,T1_YSR_Internalizing,54,-0.163,0.238, 
asr_100,Sleep trouble,T1_YSR_Externalizing,54,-0.137,0.324, 
asr_100,Sleep trouble,T1_YSR_Total,54,-0.151,0.275, 
asr_100,Sleep trouble,T2_YSR_Internalizing,49,-0.198,0.172, 
asr_100,Sleep trouble,T2_YSR_Externalizing,49,-0.176,0.227, 
asr_100,Sleep trouble,T2_YSR_Total,49,-0.208,0.152, 
