text_id,item_label,question,response,severity_rating,specificity,distress,confidence,notes
1,Can't get mind off thoughts,I can't get my mind off certain thoughts (describe):,sometimes I fear harm will come to my children and I can't banish those thoughts easily,,,,,
2,Can't get mind off thoughts,I can't get my mind off certain thoughts (describe):,"anxiety over future events, possible negative outcomes",,,,,
3,Can't get mind off thoughts,I can't get my mind off certain thoughts (describe):,how can I help Julien through the challenges he's facing?,,,,,
4,Can't get mind off thoughts,I can't get my mind off certain thoughts (describe):,fear,,,,,
5,Can't get mind off thoughts,I can't get my mind off certain thoughts (describe):,"my son, husband, work,and my parents",,,,,
6,Can't get mind off thoughts,I can't get my mind off certain thoughts (describe):,having enough money and security in the future,,,,,
7,Fears / phobias,"I am afraid of certain animals, situations, or places (describe):",horses,,,,,
8,Fears / phobias,"I am afraid of certain animals, situations, or places (describe):",new places,,,,,
9,Fears / phobias,"I am afraid of certain animals, situations, or places (describe):",Being alone- I was once part of a break in at my home when I was 12.,,,,,
10,Fears / phobias,"I am afraid of certain animals, situations, or places (describe):",police,,,,,
11,Fears / phobias,"I am afraid of certain animals, situations, or places (describe):",pitbulls scare me,,,,,
12,Fears / phobias,"I am afraid of certain animals, situations, or places (describe):",Lightening,,,,,
13,Hears sounds / voices,I hear sounds or voices that other people think aren't there (describe):,"Sometimes I hear voices or sounds that I know others don't hear, but to me they are clear as day.  Not often, sometimes.",,,,,
14,Hears sounds / voices,I hear sounds or voices that other people think aren't there (describe):,Not up for discussion,,,,,
15,Hears sounds / voices,I hear sounds or voices that other people think aren't there (describe):,schizo-affective,,,,,
16,Body twitches / tics,Parts of my body twitch or make nervous movements (describe):,Spasticity,,,,,
17,Body twitches / tics,Parts of my body twitch or make nervous movements (describe):,after a good work-out,,,,,
18,Body twitches / tics,Parts of my body twitch or make nervous movements (describe):,eye occasionally,,,,,
19,Body twitches / tics,Parts of my body twitch or make nervous movements (describe):,legs,,,,,
20,Body twitches / tics,Parts of my body twitch or make nervous movements (describe):,hands,,,,,
21,Body twitches / tics,Parts of my body twitch or make nervous movements (describe):,"hands tremble. If I'm cold, nervous, or had too much caffeine, my whole body trembles",,,,,
22,Skin picking,I pick my skin or other parts of my body (describe):,cant stand blackhead or pimples,,,,,
23,Skin picking,I pick my skin or other parts of my body (describe):,nails,,,,,
24,Skin picking,I pick my skin or other parts of my body (describe):,nose,,,,,
25,Skin picking,I pick my skin or other parts of my body (describe):,bite nails,,,,,
26,Skin picking,I pick my skin or other parts of my body (describe):,hangnails,,,,,
27,Skin picking,I pick my skin or other parts of my body (describe):,nose,,,,,
28,Does strange things,I do things that other people think are strange (describe):,trichotillomania,,,,,
29,Does strange things,I do things that other people think are strange (describe):,in the middle of my day go home and yell,,,,,
30,Does strange things,I do things that other people think are strange (describe):,"not exactly sure, but it happens",,,,,
31,Does strange things,I do things that other people think are strange (describe):,i dont care what people think about outward appearances im mtoo bohemian for my neighbors exentric,,,,,
32,Does strange things,I do things that other people think are strange (describe):,"sing in the grocery store, dance in the library. They describbe me as ""quirky""",,,,,
33,Does strange things,I do things that other people think are strange (describe):,let my pet rat hang out on my neck,,,,,
34,Strange thoughts,I have thoughts that other people would think are strange (describe):,Personal,,,,,
35,Strange thoughts,I have thoughts that other people would think are strange (describe):,what does whale poo look like,,,,,
36,Strange thoughts,I have thoughts that other people would think are strange (describe):,my philosophy on life and other topics,,,,,
37,Strange thoughts,I have thoughts that other people would think are strange (describe):,plant veggies in the front yard,,,,,
38,Strange thoughts,I have thoughts that other people would think are strange (describe):,think my son has serious mental problem,,,,,
39,Strange thoughts,I have thoughts that other people would think are strange (describe):,afraid of anxiety,,,,,
40,Trouble with law,I do things that may cause me trouble with the law (describe):,Go over speed limit,,,,,
41,Trouble with law,I do things that may cause me trouble with the law (describe):,speeding,,,,,
42,Trouble with law,I do things that may cause me trouble with the law (describe):,texting while driving,,,,,
43,Trouble with law,I do things that may cause me trouble with the law (describe):,rather not discuss,,,,,
44,Trouble sleeping,I have trouble sleeping (describe):,cant stay asleep,,,,,
45,Trouble sleeping,I have trouble sleeping (describe):,falling asleep,,,,,
46,Trouble sleeping,I have trouble sleeping (describe):,Stress and hormone related,,,,,
47,Trouble sleeping,I have trouble sleeping (describe):,wake up and difficult to fall back asleep,,,,,
48,Trouble sleeping,I have trouble sleeping (describe):,"I stay up too late, and have to get up early to get kids ready for school.  I have trouble shutting down in the evenings.",,,,,
49,Trouble sleeping,I have trouble sleeping (describe):,insomia,,,,,
